,Month,Year,County,RH_percent
296,2,2015,Mariposa,4.013386443122235
297,2,2015,Orange,2.0606000123165766
298,2,2015,Riverside,1.0302353272811078
299,2,2015,Sacramento,1.7463829354342828
300,2,2015,San Benito,1.9292920538426137
301,2,2015,San Bernardino,1.712462209087665
302,2,2015,San Diego,2.670657356710195
303,2,2015,Santa Barbara,2.8901904202250788
304,2,2015,Santa Clara,2.2653012761665794
305,2,2015,Shasta,4.100966416787684
306,2,2015,Tulare,2.3759629766962216
307,2,2015,Ventura,1.6225723948096953
308,2,2016,Amador,1.376860999886661
309,2,2016,Butte,2.2824402421822754
310,2,2016,Calaveras,1.4108166755652995
311,2,2016,Colusa,2.008378852212898
312,2,2016,Fresno,0.7568730061184499
313,2,2016,Glenn,2.32544032512235
314,2,2016,Humboldt,1.0769645654528583
315,2,2016,Inyo,0.8429492050621562
316,2,2016,Kern,0.8254798066858359
317,2,2016,Lake,2.6579257106837297
318,2,2016,Los Angeles,1.3009018084959583
319,2,2016,Madera,0.853070813793331
320,2,2016,Mariposa,3.08301430565421
321,2,2016,Orange,2.373311691642234
322,2,2016,Riverside,0.8312276127409246
323,2,2016,Sacramento,0.870306891925568
324,2,2016,San Benito,1.2704697276446142
325,2,2016,San Bernardino,1.1423573766974784
326,2,2016,San Diego,2.381707662811381
327,2,2016,San Joaquin,1.6539801439170583
328,2,2016,San Luis Obispo,1.5473908958943396
329,2,2016,Santa Barbara,1.66856615680187
330,2,2016,Santa Clara,1.8073326853375957
331,2,2016,Shasta,2.8106207819264597
332,2,2016,Sutter,1.5758297365492588
333,2,2016,Tulare,1.6783102688486828
334,2,2016,Ventura,1.42534841660246
335,2,2016,Yolo,1.9341818159157336
336,3,2010,Butte,1.4481049556625192
337,3,2010,Del Norte,1.0507040442877587
338,3,2010,Fresno,1.0860408115458775
339,3,2010,Glenn,2.01329737528876
340,3,2010,Humboldt,1.6191034156065214
341,3,2010,Imperial,2.4885917727638796
342,3,2010,Inyo,0.8736384650496655
343,3,2010,Kern,1.1924163541256707
344,3,2010,Lake,2.06020045642361
345,3,2010,Los Angeles,1.0724879354557328
346,3,2010,Madera,1.5484697580791917
347,3,2010,Marin,2.5559366061278856
348,3,2010,Mariposa,4.591899104225151
349,3,2010,Orange,2.11312411054131
350,3,2010,Placer,2.0759705654093485
351,3,2010,Riverside,1.2457567213620182
352,3,2010,Sacramento,1.0313434168280287
353,3,2010,San Benito,1.5237357458998855
354,3,2010,San Bernardino,1.5735198535212418
355,3,2010,San Diego,2.049301842701301
356,3,2010,San Joaquin,1.8218388858689714
357,3,2010,Santa Barbara,2.7059753756147407
358,3,2010,Shasta,2.8294689079229696
359,3,2010,Tulare,1.5845800694172854
360,3,2010,Ventura,1.4025983881816304
361,3,2011,Butte,1.343161848302242
362,3,2011,Del Norte,0.9269373862792707
363,3,2011,Fresno,0.9070153409583013
364,3,2011,Glenn,2.197189017343362
365,3,2011,Humboldt,0.9393090834851253
366,3,2011,Imperial,1.48251220326043
367,3,2011,Inyo,0.960371935497944
368,3,2011,Kern,0.9269915478899131
369,3,2011,Lake,1.1219187191122828
370,3,2011,Los Angeles,0.8101108739735204
371,3,2011,Madera,1.7984795382283878
372,3,2011,Marin,1.1225460176038258
373,3,2011,Mariposa,4.391607090627708
374,3,2011,Orange,1.6143918145725655
375,3,2011,Placer,2.053034714667672
376,3,2011,Riverside,1.173100033420342
377,3,2011,Sacramento,1.0794389544338812
378,3,2011,San Benito,1.7047805454405325
379,3,2011,San Bernardino,1.4269288573051802
380,3,2011,San Diego,1.6315893246105948
381,3,2011,San Joaquin,1.3079229770743874
382,3,2011,Santa Barbara,2.5211194885483477
383,3,2011,Santa Clara,2.068688469234448
384,3,2011,Shasta,2.4696687168777847
385,3,2011,Tulare,1.2462126402953666
386,3,2011,Ventura,1.2667749142355793
387,3,2012,Butte,1.798552743955564
388,3,2012,Del Norte,1.2438766633720977
389,3,2012,Fresno,1.513683182930853
390,3,2012,Glenn,2.5947382048886682
391,3,2012,Humboldt,1.4349083692608933
392,3,2012,Imperial,1.8941257882924298
393,3,2012,Inyo,0.6715106022727434
394,3,2012,Kern,1.823762814877361
395,3,2012,Lake,2.3162063631353575
396,3,2012,Los Angeles,1.1809591497827776
397,3,2012,Madera,1.563404372614726
398,3,2012,Marin,2.9017409395334046
399,3,2012,Mariposa,4.211063676507907
400,3,2012,Orange,2.559054977267199
401,3,2012,Placer,2.7889571604790953
402,3,2012,Riverside,1.4196270025023288
403,3,2012,Sacramento,1.512912260549165
404,3,2012,San Benito,2.3526926278611073
405,3,2012,San Bernardino,1.925489423582088
406,3,2012,San Diego,2.247306812087295
407,3,2012,San Joaquin,2.573802730644512
408,3,2012,Santa Barbara,3.010602203601984
409,3,2012,Santa Clara,1.4047328999440145
410,3,2012,Shasta,3.502544244341889
411,3,2012,Tulare,1.8600558427161578
412,3,2012,Ventura,1.89945426222314
413,3,2013,Butte,1.8127439316112548
414,3,2013,Del Norte,0.9285404910386047
415,3,2013,Fresno,1.2319658263163455
416,3,2013,Glenn,2.635184020358698
417,3,2013,Humboldt,1.25807383895384
418,3,2013,Inyo,0.6793117164855409
419,3,2013,Kern,1.1156247543924782
420,3,2013,Lake,1.4861340299900652
421,3,2013,Los Angeles,0.9864685705692938
422,3,2013,Madera,1.1097075049347547
423,3,2013,Marin,1.0128846164394025
424,3,2013,Mariposa,3.6480321461625023
425,3,2013,Orange,1.708462644560171
426,3,2013,Riverside,1.253500283086528
427,3,2013,Sacramento,0.986965401915094
428,3,2013,San Benito,1.7732164320765598
429,3,2013,San Bernardino,1.6303941848737609
430,3,2013,San Diego,2.2784254629462968
431,3,2013,San Joaquin,1.653378887386879
432,3,2013,Santa Barbara,2.5852483763790013
433,3,2013,Santa Clara,1.0108992868357398
434,3,2013,Shasta,3.3407827086958015
435,3,2013,Tulare,1.6404736059931029
