,Month,Year,County,Arithmetic_Mean_ppb
1232,4,2014,Inyo,0.6992695158658139
1233,4,2014,Kern,0.6725543261321364
1234,4,2014,Kings,0.6199048159538277
1235,4,2014,Lake,1.2860117964368418
1236,4,2014,Los Angeles,0.3847827030064005
1237,4,2014,Madera,0.7045327316196591
1238,4,2014,Marin,1.3887303077222037
1239,4,2014,Mariposa,0.8841931312407557
1240,4,2014,Mendocino,1.0518374288089636
1241,4,2014,Merced,1.0644213750389677
1242,4,2014,Monterey,0.5820146197097051
1243,4,2014,Napa,1.1425087456425587
1244,4,2014,Nevada,1.305644901870902
1245,4,2014,Orange,0.6350503059081859
1246,4,2014,Placer,0.5095230419276581
1247,4,2014,Riverside,0.4911179104962417
1248,4,2014,Sacramento,0.429214698655724
1249,4,2014,San Benito,0.78106726034248
1250,4,2014,San Bernardino,0.5271222638384978
1251,4,2014,San Diego,0.6646871922863478
1252,4,2014,San Francisco,1.5158085019419132
1253,4,2014,San Joaquin,1.0816385421530612
1254,4,2014,San Luis Obispo,0.4926714119116695
1255,4,2014,San Mateo,1.2377929299030626
1256,4,2014,Santa Barbara,0.3777850917387587
1257,4,2014,Santa Clara,0.5269428869354373
1258,4,2014,Santa Cruz,0.8833386674753463
1259,4,2014,Shasta,0.8912865901582864
1260,4,2014,Siskiyou,1.1501967017516204
1261,4,2014,Solano,0.6389098632620732
1262,4,2014,Sonoma,1.1017066300840646
1263,4,2014,Stanislaus,0.8453076640753022
1264,4,2014,Sutter,1.2170711034401391
1265,4,2014,Tehama,1.4012472613881153
1266,4,2014,Tulare,0.8412019741041737
1267,4,2014,Tuolumne,1.1486181027385456
1268,4,2014,Ventura,0.5173368367247436
1269,4,2014,Yolo,0.5775060988256238
1270,4,2015,Alameda,0.6418417483280385
1271,4,2015,Amador,1.1047167969119098
1272,4,2015,Butte,0.982855002841299
1273,4,2015,Calaveras,1.1727949051312918
1274,4,2015,Colusa,0.723201599980641
1275,4,2015,Contra Costa,0.484137245420874
1276,4,2015,El Dorado,1.688178811999305
1277,4,2015,Fresno,0.5584507494716869
1278,4,2015,Glenn,1.0103013271721581
1279,4,2015,Humboldt,0.8642397820215317
1280,4,2015,Imperial,1.065943389760166
1281,4,2015,Inyo,0.6887976129535344
1282,4,2015,Kern,0.5531178538982666
1283,4,2015,Kings,0.8609362968159381
1284,4,2015,Lake,1.0660981840013766
1285,4,2015,Los Angeles,0.41448809716058554
1286,4,2015,Madera,0.7408935536174557
1287,4,2015,Marin,0.9241623847832562
1288,4,2015,Mariposa,1.021538209851502
1289,4,2015,Mendocino,0.977102925094521
1290,4,2015,Merced,1.3438821946365773
1291,4,2015,Monterey,0.4616495565530334
1292,4,2015,Napa,1.0092165032067337
1293,4,2015,Nevada,1.2848921823875867
1294,4,2015,Orange,0.6876737579183886
1295,4,2015,Placer,0.5387027403831782
1296,4,2015,Riverside,0.5009163033149909
1297,4,2015,Sacramento,0.43219235301276765
1298,4,2015,San Benito,0.8011246757068247
1299,4,2015,San Bernardino,0.5291812920875388
1300,4,2015,San Diego,0.5630974513689732
1301,4,2015,San Francisco,1.0393324356163136
1302,4,2015,San Joaquin,1.0336793685597307
1303,4,2015,San Luis Obispo,0.4410043148454017
1304,4,2015,San Mateo,1.0054984642881484
1305,4,2015,Santa Barbara,0.356090413952879
1306,4,2015,Santa Clara,0.4776423286732512
1307,4,2015,Santa Cruz,0.9423563444287186
1308,4,2015,Shasta,0.7478814584766246
1309,4,2015,Siskiyou,0.9895699192750854
1310,4,2015,Solano,0.5752544352360129
1311,4,2015,Sonoma,0.8910573852686525
1312,4,2015,Stanislaus,0.7742818925029166
1313,4,2015,Sutter,1.0529710408663788
1314,4,2015,Tehama,1.3750519549734008
1315,4,2015,Tulare,0.8855877141657783
1316,4,2015,Tuolumne,1.150447988454033
1317,4,2015,Ventura,0.5103601211073452
1318,4,2015,Yolo,0.5592888096450367
1319,4,2016,Alameda,0.603376553857264
1320,4,2016,Amador,0.9555048506105187
1321,4,2016,Butte,1.129652141314594
1322,4,2016,Calaveras,0.9885563114947818
1323,4,2016,Colusa,1.1327117017458723
1324,4,2016,Contra Costa,0.5536238543158857
1325,4,2016,El Dorado,0.9289597402746721
1326,4,2016,Fresno,0.4679303967097266
1327,4,2016,Glenn,1.0240459711341914
1328,4,2016,Humboldt,0.9177853939948707
1329,4,2016,Imperial,0.8005976586620077
1330,4,2016,Inyo,0.8458239505107433
1331,4,2016,Kern,0.5722212256047653
1332,4,2016,Kings,0.8453893613999248
1333,4,2016,Lake,1.329833321102952
1334,4,2016,Los Angeles,0.4830523260454174
1335,4,2016,Madera,0.72353009944131
1336,4,2016,Marin,0.942911698225948
1337,4,2016,Mariposa,1.06616621300739
1338,4,2016,Mendocino,1.352197774024432
1339,4,2016,Merced,1.063685018122272
1340,4,2016,Monterey,0.532981529407367
1341,4,2016,Napa,1.049982094373874
1342,4,2016,Nevada,1.6659031428565432
1343,4,2016,Orange,0.6815168102128571
1344,4,2016,Placer,0.655661321027422
1345,4,2016,Riverside,0.47708187691455906
1346,4,2016,Sacramento,0.417842768669639
1347,4,2016,San Benito,0.7104499914015665
1348,4,2016,San Bernardino,0.5627736304557178
1349,4,2016,San Diego,0.5498235973569124
1350,4,2016,San Francisco,0.9745712718855786
1351,4,2016,San Joaquin,1.0900872901065257
1352,4,2016,San Luis Obispo,0.5222219538313759
1353,4,2016,San Mateo,1.073176697430598
1354,4,2016,Santa Barbara,0.4469035170669546
1355,4,2016,Santa Clara,0.5499291137983887
1356,4,2016,Santa Cruz,1.123299039962234
1357,4,2016,Shasta,0.7715402604706236
1358,4,2016,Siskiyou,0.597647877979701
1359,4,2016,Solano,0.6639930566275142
1360,4,2016,Sonoma,0.88364602944188
1361,4,2016,Stanislaus,0.9117864460523564
1362,4,2016,Sutter,1.542363800712925
1363,4,2016,Tehama,1.3946524303996273
1364,4,2016,Tulare,0.7762595192713706
1365,4,2016,Tuolumne,1.4145022936218443
1366,4,2016,Ventura,0.6369595049038811
1367,4,2016,Yolo,0.8452487320142962
1368,5,2010,Alameda,0.48909971444653844
1369,5,2010,Amador,0.6031515375475093
1370,5,2010,Butte,0.987793211058343
1371,5,2010,Calaveras,0.6040487952141393
1372,5,2010,Colusa,0.779683432271962
1373,5,2010,Contra Costa,0.6651594768430873
1374,5,2010,El Dorado,1.045122620484931
1375,5,2010,Fresno,0.4164351258247879
1376,5,2010,Glenn,0.7492093339338742
1377,5,2010,Humboldt,0.7183481199640871
1378,5,2010,Imperial,0.7143481628615779
1379,5,2010,Inyo,0.9082894604437168
1380,5,2010,Kern,0.467000193659506
1381,5,2010,Kings,0.7616546695799644
1382,5,2010,Lake,0.9124095303659808
1383,5,2010,Los Angeles,0.43148356975240776
1384,5,2010,Madera,0.7514181328699937
1385,5,2010,Marin,0.7763861159958432
1386,5,2010,Mariposa,0.9856239041254893
1387,5,2010,Mendocino,0.7550951762851105
1388,5,2010,Merced,0.8318251307482205
1389,5,2010,Monterey,0.536366896135649
1390,5,2010,Napa,0.8535989955764017
1391,5,2010,Nevada,1.0630679365752325
1392,5,2010,Orange,0.6746510552875908
1393,5,2010,Placer,0.6235468516385224
1394,5,2010,Riverside,0.6832241755126517
1395,5,2010,Sacramento,0.3422970567355864
1396,5,2010,San Benito,0.5861734944465562
1397,5,2010,San Bernardino,0.5549865847499014
1398,5,2010,San Diego,0.4198567658796164
1399,5,2010,San Francisco,0.9032267766181427
1400,5,2010,San Joaquin,0.9062042729537377
1401,5,2010,San Luis Obispo,0.5048126815802525
1402,5,2010,San Mateo,1.025916089736425
1403,5,2010,Santa Barbara,0.3077167077813859
1404,5,2010,Santa Clara,0.43248616802954687
1405,5,2010,Santa Cruz,0.7985831064102944
1406,5,2010,Shasta,0.8038391378939356
1407,5,2010,Siskiyou,1.2090555336233992
1408,5,2010,Solano,0.537208075449542
1409,5,2010,Sonoma,0.9923727454634658
1410,5,2010,Stanislaus,0.7734036564332284
1411,5,2010,Sutter,1.0934677715358245
1412,5,2010,Tehama,0.9010903379519871
1413,5,2010,Tulare,0.6983502530648974
1414,5,2010,Tuolumne,0.8843924160364773
1415,5,2010,Ventura,0.38566772645193087
1416,5,2010,Yolo,0.6460817123112607
1417,5,2011,Alameda,0.57086591705005
1418,5,2011,Amador,0.8232276207972061
1419,5,2011,Butte,0.9435863815937515
