,Month,Year,County,Temp_Celsius
78,1,2012,Butte,8.90955104463438
79,1,2012,Calaveras,7.104938240740742
80,1,2012,Colusa,8.31497775985663
81,1,2012,Del Norte,7.738996222222223
82,1,2012,El Dorado,5.5476459865900365
83,1,2012,Fresno,8.883678670138886
84,1,2012,Glenn,8.50059741935484
85,1,2012,Humboldt,5.984847499999999
86,1,2012,Imperial,14.579503754480282
87,1,2012,Inyo,6.761187099875161
88,1,2012,Kern,9.821605531135537
89,1,2012,Kings,8.532875842293906
90,1,2012,Lake,5.70781450670498
91,1,2012,Los Angeles,13.618382404911646
92,1,2012,Madera,8.503145008960573
93,1,2012,Marin,9.951989043209878
94,1,2012,Mariposa,6.607638916666668
95,1,2012,Merced,8.094222365591397
96,1,2012,Mono,0.8056735536398466
97,1,2012,Monterey,9.7708078998779
98,1,2012,Orange,14.409091801075261
99,1,2012,Placer,9.965651164874552
100,1,2012,Riverside,13.834076224806212
101,1,2012,Sacramento,9.070827326839826
102,1,2012,San Benito,8.869212972222224
103,1,2012,San Bernardino,10.345232638888879
104,1,2012,San Diego,13.659459194781828
105,1,2012,San Joaquin,9.070785191158897
106,1,2012,San Luis Obispo,9.558094640211639
107,1,2012,Santa Barbara,12.503941098874202
108,1,2012,Santa Clara,10.02291901433692
109,1,2012,Santa Cruz,9.301075268817206
110,1,2012,Shasta,0.6641123946360152
111,1,2012,Stanislaus,8.620688503584232
112,1,2012,Sutter,9.496001685185183
113,1,2012,Tulare,8.61660317616959
114,1,2012,Tuolumne,7.296296296296296
115,1,2012,Ventura,14.411323106332137
116,1,2012,Yolo,8.268070501792115
117,1,2013,Butte,7.29302830882353
118,1,2013,Calaveras,5.605240166666666
119,1,2013,Del Norte,5.949074086021505
120,1,2013,El Dorado,2.5358796388888885
121,1,2013,Fresno,7.159758765096619
122,1,2013,Glenn,6.70922940860215
123,1,2013,Humboldt,4.874551971326165
124,1,2013,Imperial,11.82897526998962
125,1,2013,Inyo,5.471159062589723
126,1,2013,Kern,7.671683787654325
127,1,2013,Kings,7.565104832735961
128,1,2013,Lake,5.003138728813557
129,1,2013,Los Angeles,11.838583506571082
130,1,2013,Madera,6.934051326164873
131,1,2013,Marin,9.48626046594982
132,1,2013,Mariposa,4.027006157407406
133,1,2013,Merced,6.459080053763441
134,1,2013,Mono,-5.7896399137931045
135,1,2013,Monterey,8.552337096774195
