,Month,Year,County,Temp_Celsius,Temp_Levels
292,2,2011,Inyo,6.6944341869918675,Moderate
293,2,2011,Kern,9.619151838624344,Moderate
294,2,2011,Kings,9.207343734939759,Moderate
295,2,2011,Lake,5.011022952380956,Moderate
296,2,2011,Los Angeles,11.469870434891902,Moderate
297,2,2011,Madera,9.022747222222225,Moderate
298,2,2011,Marin,8.901657023809523,Moderate
299,2,2011,Mariposa,2.83962641509434,Moderate
300,2,2011,Merced,7.825616865079367,Moderate
301,2,2011,Mono,-2.8254770117845127,Low_Temp
302,2,2011,Monterey,9.307772381944442,Moderate
303,2,2011,Orange,12.101149841269843,Moderate
304,2,2011,Placer,9.636959382716052,Moderate
305,2,2011,Riverside,11.02396746031746,Moderate
306,2,2011,Sacramento,9.358258929292926,Moderate
307,2,2011,San Benito,7.996365999999999,Moderate
308,2,2011,San Bernardino,7.525222102194792,Moderate
309,2,2011,San Diego,11.855775056847543,Moderate
310,2,2011,San Joaquin,9.386834444444446,Moderate
311,2,2011,San Luis Obispo,8.448531373056992,Moderate
312,2,2011,Santa Barbara,10.44026611382114,Moderate
313,2,2011,Santa Clara,10.127728194444444,Moderate
314,2,2011,Santa Cruz,9.267790424242426,Moderate
315,2,2011,Shasta,-0.8744213657407407,Low_Temp
316,2,2011,Stanislaus,9.651063106995888,Moderate
317,2,2011,Sutter,8.938492103174605,Moderate
318,2,2011,Tulare,7.607034849624059,Moderate
319,2,2011,Tuolumne,5.712632261904763,Moderate
320,2,2011,Ventura,10.880884635327636,Moderate
321,2,2011,Yolo,11.778120720164607,Moderate
322,2,2012,Amador,7.351680411522633,Moderate
323,2,2012,Butte,10.276574577187809,Moderate
324,2,2012,Calaveras,8.39236107142857,Moderate
325,2,2012,Colusa,10.466954022988505,Moderate
326,2,2012,Del Norte,8.15806878968254,Moderate
327,2,2012,El Dorado,4.856902343434344,Moderate
328,2,2012,Fresno,10.77674757225434,Moderate
329,2,2012,Glenn,10.657032586206897,Moderate
330,2,2012,Humboldt,7.538029087301588,Moderate
331,2,2012,Imperial,15.963042801724137,Moderate
332,2,2012,Inyo,8.545673740654808,Moderate
333,2,2012,Kern,10.779193052631584,Moderate
334,2,2012,Kings,10.758301417624521,Moderate
335,2,2012,Lake,6.596188829365078,Moderate
336,2,2012,Los Angeles,13.070888523855274,Moderate
337,2,2012,Madera,10.431434841269843,Moderate
338,2,2012,Marin,9.603909423868311,Moderate
339,2,2012,Mariposa,6.054769381551362,Moderate
340,2,2012,Merced,10.346019722222222,Moderate
341,2,2012,Mono,-0.8135522020202014,Low_Temp
342,2,2012,Monterey,10.17310789542484,Moderate
343,2,2012,Orange,13.4878203256705,Moderate
344,2,2012,Placer,12.377075363984673,Moderate
345,2,2012,Riverside,13.399407074438976,Moderate
346,2,2012,Sacramento,10.72156913317573,Moderate
347,2,2012,San Benito,9.726851838383839,Moderate
348,2,2012,San Bernardino,9.508521843434341,Moderate
349,2,2012,San Diego,12.805053905723913,Moderate
350,2,2012,San Joaquin,11.284988640522878,Moderate
351,2,2012,San Luis Obispo,10.007273593322386,Moderate
352,2,2012,Santa Barbara,11.95529968401969,Moderate
353,2,2012,Santa Clara,11.41316154761905,Moderate
354,2,2012,Santa Cruz,10.316647298850572,Moderate
355,2,2012,Shasta,-0.18773444444444462,Low_Temp
356,2,2012,Stanislaus,11.051413284600388,Moderate
357,2,2012,Sutter,11.230842873563219,Moderate
358,2,2012,Tulare,9.023031794564348,Moderate
359,2,2012,Tuolumne,7.608618247863247,Moderate
360,2,2012,Ventura,12.82800813537676,Moderate
361,2,2012,Yolo,10.163078218390806,Moderate
362,2,2013,Butte,10.265346358024692,Moderate
363,2,2013,Calaveras,6.979166706349205,Moderate
364,2,2013,Del Norte,7.016333134920636,Moderate
365,2,2013,El Dorado,4.237001101010101,Moderate
366,2,2013,Fresno,9.472619037698408,Moderate
